xdata ydata 
0.0 0.06362546235322952 
1.0 0.06653831899166107 
2.0 0.05993819236755371 
3.0 0.07649704068899155 
4.0 0.06651797145605087 
5.0 0.06642528623342514 
6.0 0.07363652437925339 
7.0 0.0674038678407669 
8.0 0.07617034763097763 
9.0 0.0745282992720604 
10.0 0.06810387969017029 
11.0 0.06651142239570618 
12.0 0.062449175864458084 
13.0 0.07275450229644775 
14.0 0.06966187804937363 
15.0 0.0815163403749466 
16.0 0.07633674889802933 
17.0 0.06264538317918777 
18.0 0.05910627171397209 
19.0 0.0772194042801857 
