xdata ydata 
0.0 0.00045048919855616987 
1.0 0.00043076806468889117 
2.0 0.000478202331578359 
3.0 0.0003746887668967247 
4.0 0.00043089984683319926 
5.0 0.00043150107376277447 
6.0 0.00038924411637708545 
7.0 0.00042523647425696254 
8.0 0.0003762958222068846 
9.0 0.00038458657218143344 
10.0 0.0004208656318951398 
11.0 0.0004309422511141747 
12.0 0.00045897456584498286 
13.0 0.00039396301144734025 
14.0 0.0004114529292564839 
15.0 0.00035161763662472367 
16.0 0.00037547555984929204 
17.0 0.00045753706945106387 
18.0 0.00048493299982510507 
19.0 0.0003711837052833289 
